id,name,artists,duration_ms,year,spotify_popularity,popularity_source
1EyLdZf5xbZ4LyeiFqkq3I,Indulgence By Proxy,['Tourniquet'],355507,2000,74,proxy
33XKOH0zqMYPxSaSh1Awkd,Caixa De Raiva,['Tourniquet'],251667,2000,69,proxy
1VweX3Fln4e2lytc5W0C6M,Time Is Too Expensive,['Del The Funky Homosapien'],287427,2000,74,proxy
5eV0XIpuWFS8H7OYDDxA4E,If You Must,['Del The Funky Homosapien'],225400,2000,78,proxy
69h8ClgWuXfSurxXvwcyPL,Jaw Gymnastics,['Del The Funky Homosapien'],224773,2000,76,proxy
5RUMWe0bvxXwMCR8cj3Vbu,Pet Peeves,['Del The Funky Homosapien'],430960,2000,69,proxy
736y1ZQptSw5iaMkbmvu9X,Press Rewind,['Del The Funky Homosapien'],277440,2000,71,proxy
2UMpNracLPSuQNzNOAwhRE,Offspring,['Del The Funky Homosapien'],260133,2000,81,proxy
1HLUpEneNYwcKJjrKBOcK1,Style Police,['Del The Funky Homosapien'],234267,2000,79,proxy
5duoPNQv6KwJaypXVBOmI0,Fake As F**k,['Del The Funky Homosapien'],260053,2000,82,proxy
18lGNgzlr23gFhgzbK1va0,BM's,['Del The Funky Homosapien'],255080,2000,82,proxy
5h7ysGyN8AYVAfHiAAfsLO,Skull & Crossbones,['Del The Funky Homosapien'],256827,2000,80,proxy
0bBW04efmIU6nsr1QffgsZ,Soopa Feen,['Del The Funky Homosapien'],323867,2000,78,proxy
69Ob9BV9AfPtxlzW1dCE48,Disastrous,['Del The Funky Homosapien'],199400,2000,72,proxy
0q3zHl0is5XmQ6NOqxHryM,Signature Slogans,['Del The Funky Homosapien'],262400,2000,70,proxy
7aAvIWn9ZL1NyQGscQ2AZN,Catch All This,['Del The Funky Homosapien'],245440,2000,81,proxy
7sxkwqRViludx6WuqQNDBd,Phoney Phranchise,['Del The Funky Homosapien'],218093,2000,80,proxy
3CAQBR9Rbfo1XW2Bb18AHH,Proto Culture,['Del The Funky Homosapien'],253907,2000,76,proxy
5FSmCXuIz1IhENUmGTaNAe,Stay On Your Toes,['Del The Funky Homosapien'],207000,2000,77,proxy
3R6td84ePA91KhkC59t00S,Change da Game,"['DJ Quik', 'Mausberg', 'James DeBarge']",244520,2000,69,proxy
6w8snPwD79KEwGYycSEBsC,Did Y'all Feel Dat?,"['DJ Quik', 'Skaboobie', 'Mausberg']",207613,2000,67,proxy
51S2IsrJ1eSm41WMQnn5XS,We Came 2 Play,"['DJ Quik', 'AMG', 'James DeBarge']",229053,2000,68,proxy
2hyyA7U1m1pFlZcEyl91jH,Pitch In OnA Party,['DJ Quik'],247120,2000,70,proxy
1cOK9Dj5w4mMsZDPCx9hmq,I Don't Wanna Party Wit U,['DJ Quik'],304480,2000,68,proxy
4gEySHoOeMvE53ZT1UUNSF,Sexuality,['DJ Quik'],242880,2000,73,proxy
2X3IkdGo7iMNatxuv8d5Jb,How Come?,['DJ Quik'],233240,2000,67,proxy
57qXlfXMTC91Celx0erjk5,U Ain't Fresh - Club Mix,"['DJ Quik', 'Eric Sermon', 'Kam']",234373,2000,70,proxy
6Y2SxGrxGBcUMsC7QvHx5i,Roger's Groove,['DJ Quik'],168480,2000,70,proxy
2KYWT7JPcBaKHbFJAk17q4,Quikker Said Than Dunn,['DJ Quik'],214693,2000,69,proxy
56oGmMPDloJvB7eP95ojxL,Speak On It - Club Mix/Dirty Verison,"['DJ Quik', 'Suga Free', 'Mausberg', 'AMG']",152560,2000,71,proxy
2NTVCyTz4Xi8XrB0s6SCX8,Do Whutcha Want,"['DJ Quik', 'Digital Underground', 'AMG']",307880,2000,78,proxy
2Y1UvwXBfUnRWkEOf2L9ba,Quik's Groove V,['DJ Quik'],299080,2000,75,proxy
3N3bbZga5ifQWxnzCrm3m2,Do I Love Her? - Dirty Version/Club Mix,"['DJ Quik', 'Suga Free']",250040,2000,72,proxy
7e61F4AkoR08sZ3VkWiYGi,Fresher Than the Sweetness in Water,"[""Gorky's Zygotic Mynci""]",145360,2000,68,proxy
2HHTVxM3xIUtMSMItsp8Xi,Steel Against Skin,['Bio-Tek'],315840,2000,73,proxy
